"Year","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Minimum Total","Maximum Total"
"2002","583","685","668","691","712","739","784","803","775","789","822","811","770","9632","9650"
"2003","625","623","693","668","680","687","720","766","801","791","802","797","789","9442","9496"
"2004","688","659","637","725","684","706","699","774","790","805","825","805","850","9647","9692"
"2005","647","738","666","637","748","714","699","745","772","789","810","832","759","9556","9628"
"2006","767","705","774","689","652","788","753","752","775","780","818","836","781","9870","9906"
"2007","743","843","744","786","715","706","796","795","769","769","801","803","779","10049","10085"
"2008","811","803","876","773","841","752","737","809","824","763","756","766","832","10343","10352"
"2009","845","893","866","931","819","874","795","853","876","742","799","727","833","10853","10889"
"2010","819","909","909","887","933","845","893","873","846","819","813","760","701","11007","11070"
"2011","885","831","890","908","885","927","849","937","897","825","840","824","801","11299","11308"
"2012","902","954","866","900","918","877","974","886","943","842","814","828","763","11467","11494"
"2013","924","927","926","864","897","909","863","1027","915","889","831","826","806","11604","11622"
"2014","849","940","901","917","853","873","919","876","1004","871","896","847","785","11531","11549"
"2015","903","859","897","915","926","834","895","944","900","1011","896","937","891","11808","11835"
"2016","812","898","837","898","909","913","810","890","928","943","1013","912","931","11694","11712"
"2017","830","805","886","816","886","896","898","827","923","1004","965","994","950","11680","11725"
"2018","841","864","824","887","825","918","869","915","873","986","1009","960","1000","11771","11816"
"2019","755","828","841","812","860","818","891","903","933","919","1004","1038","980","11582","11663"
"2020","709","738","801","849","799","848","783","917","882","989","943","966","995","11219","11345"
"2021","734","723","721","779","820","769","831","787","905","952","983","918","960","10882","11026"
